id;known;name;products;url;sameAs
en:plant-based-foods-and-beverages;1;Aliments et boissons à base de végétaux;85253;https://fr.openfoodfacts.org/categorie/aliments-et-boissons-a-base-de-vegetaux;
en:plant-based-foods;1;Aliments d'origine végétale;72485;https://fr.openfoodfacts.org/categorie/aliments-d-origine-vegetale;
en:snacks;1;Snacks;46856;https://fr.openfoodfacts.org/categorie/snacks;
en:beverages;1;Boissons;39638;https://fr.openfoodfacts.org/categorie/boissons;https://www.wikidata.org/wiki/Q40050
en:sweet-snacks;1;Snacks sucrés;39463;https://fr.openfoodfacts.org/categorie/snacks-sucres;
en:meats;1;Viandes;30749;https://fr.openfoodfacts.org/categorie/viandes;
en:dairies;1;Produits laitiers;30655;https://fr.openfoodfacts.org/categorie/produits-laitiers;https://www.wikidata.org/wiki/Q185217
en:meals;1;Plats préparés;26443;https://fr.openfoodfacts.org/categorie/plats-prepares;https://www.wikidata.org/wiki/Q3391775
en:fruits-and-vegetables-based-foods;1;Aliments à base de fruits et de légumes;26425;https://fr.openfoodfacts.org/categorie/aliments-a-base-de-fruits-et-de-legumes;
en:cereals-and-potatoes;1;Céréales et pommes de terre;24119;https://fr.openfoodfacts.org/categorie/cereales-et-pommes-de-terre;
en:fermented-foods;1;Produits fermentés;22910;https://fr.openfoodfacts.org/categorie/produits-fermentes;
en:fermented-milk-products;1;Produits laitiers fermentés;22688;https://fr.openfoodfacts.org/categorie/produits-laitiers-fermentes;https://www.wikidata.org/wiki/Q3506176
en:spreads;1;Produits à tartiner;20729;https://fr.openfoodfacts.org/categorie/produits-a-tartiner;
en:biscuits-and-cakes;1;Biscuits et gâteaux;20049;https://fr.openfoodfacts.org/categorie/biscuits-et-gateaux;
en:prepared-meats;1;Charcuteries;18252;https://fr.openfoodfacts.org/categorie/charcuteries;
en:groceries;1;Epicerie;17603;https://fr.openfoodfacts.org/categorie/epicerie;
en:breakfasts;1;Petit-déjeuners;16545;https://fr.openfoodfacts.org/categorie/petit-dejeuners;
en:cheeses;1;Fromages;16293;https://fr.openfoodfacts.org/categorie/fromages;https://www.wikidata.org/wiki/Q10943
en:cereals-and-their-products;1;Céréales et dérivés;15762;https://fr.openfoodfacts.org/categorie/cereales-et-derives;
en:fruits-based-foods;1;Fruits et produits dérivés;15349;https://fr.openfoodfacts.org/categorie/fruits-et-produits-derives;
en:plant-based-beverages;1;Boissons à base de végétaux;14192;https://fr.openfoodfacts.org/categorie/boissons-a-base-de-vegetaux;
en:desserts;1;Desserts;14044;https://fr.openfoodfacts.org/categorie/desserts;
en:sweet-spreads;1;Produits à tartiner sucrés;11928;https://fr.openfoodfacts.org/categorie/produits-a-tartiner-sucres;
en:sauces;1;Sauces;11758;https://fr.openfoodfacts.org/categorie/sauces;https://www.wikidata.org/wiki/Q178359
en:seafood;1;Produits de la mer;11212;https://fr.openfoodfacts.org/categorie/produits-de-la-mer;
en:confectioneries;1;Confiseries;10670;https://fr.openfoodfacts.org/categorie/confiseries;
