id;known;name;products;url;sameAs
en:12-years-old;0;en:12-years-old;3;https://fr.openfoodfacts.org/categorie/en:12-years-old;
en:cereal-bar-with-almonds-or-hazelnuts;1;Barre céréalière aux amandes ou aux noisettes;3;https://fr.openfoodfacts.org/categorie/barre-cerealiere-aux-amandes-ou-aux-noisettes;
fr:riz-long-grain-complet;0;riz-long-grain-complet;3;https://fr.openfoodfacts.org/categorie/riz-long-grain-complet;
fr:charcuteries-halal;0;charcuteries-halal;3;https://fr.openfoodfacts.org/categorie/charcuteries-halal;
fr:jambon-superieur;0;jambon-superieur;3;https://fr.openfoodfacts.org/categorie/jambon-superieur;
fr:anchois-a-l-huile;0;anchois-a-l-huile;3;https://fr.openfoodfacts.org/categorie/anchois-a-l-huile;
fr:epicerie-salee;0;epicerie-salee;3;https://fr.openfoodfacts.org/categorie/epicerie-salee;
fr:lasagnes-a-garnir-aux-oeufs;0;lasagnes-a-garnir-aux-oeufs;3;https://fr.openfoodfacts.org/categorie/lasagnes-a-garnir-aux-oeufs;
fr:sprats-a-l-huile;0;sprats-a-l-huile;3;https://fr.openfoodfacts.org/categorie/sprats-a-l-huile;
fr:cornets;0;cornets;3;https://fr.openfoodfacts.org/categorie/cornets;
fr:feuilletes-aux-noix-de-st-jacques;0;feuilletes-aux-noix-de-st-jacques;3;https://fr.openfoodfacts.org/categorie/feuilletes-aux-noix-de-st-jacques;
fr:viande-cuisinee;0;viande-cuisinee;3;https://fr.openfoodfacts.org/categorie/viande-cuisinee;
fr:anchois-en-conserve;0;anchois-en-conserve;3;https://fr.openfoodfacts.org/categorie/anchois-en-conserve;
fr:viandes-de-dinde;0;viandes-de-dinde;3;https://fr.openfoodfacts.org/categorie/viandes-de-dinde;
en:erfrischungsgetranke;0;en:erfrischungsgetranke;3;https://fr.openfoodfacts.org/categorie/en:erfrischungsgetranke;
fr:preparation-pour;0;preparation-pour;3;https://fr.openfoodfacts.org/categorie/preparation-pour;
fr:organic;0;organic;3;https://fr.openfoodfacts.org/categorie/organic;
fr:pommard;1;Pommard;3;https://fr.openfoodfacts.org/categorie/pommard;https://www.wikidata.org/wiki/Q13420336
fr:tripes-a-la-provencale;0;tripes-a-la-provencale;3;https://fr.openfoodfacts.org/categorie/tripes-a-la-provencale;
fr:bieres-de-printemps;0;bieres-de-printemps;3;https://fr.openfoodfacts.org/categorie/bieres-de-printemps;
fr:chocolats-noirs-a-la-framboise;0;chocolats-noirs-a-la-framboise;3;https://fr.openfoodfacts.org/categorie/chocolats-noirs-a-la-framboise;
en:strawberry-juice;1;Jus de fraise;3;https://fr.openfoodfacts.org/categorie/jus-de-fraise;https://www.wikidata.org/wiki/Q1068602
fr:boudins-blancs-aux-cepes;0;boudins-blancs-aux-cepes;3;https://fr.openfoodfacts.org/categorie/boudins-blancs-aux-cepes;
fr:biscuits-fourres-chocolat-au-chocolat;0;biscuits-fourres-chocolat-au-chocolat;3;https://fr.openfoodfacts.org/categorie/biscuits-fourres-chocolat-au-chocolat;
